,name,username,description,location,followers,numberstatuses,time,tweets,Label,url,lang,mentions,hashtags
13714,كتكات كوكونة,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1740,5879,22/4/2016 21:00,    LOL I'm dying,O,[],en,"['@dhjxjdjsjshxhx', '@MaghrebiWS1', '@WindOfVictories', '@AbuBlock']",[]
654,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742,348,13/12/2015 10:00,"  Hagar was Abrahams wife, he had a son Ishmael with her, arabs are from him. I mentioned connection with Kaaba",O,[],en,"['@child_lamb', '@AkhiJibran']",[]
1341,s.o.dawlah,1Dawlah_III,,,632,333,20/1/2016 1:00,"#WilayatAlJazirah
Opening a new media point in the village of Tawim. 📷  ",N,"['https://t.co/P8cHU4khds', 'https://t.co/jQ7xRBvqAW']",en,[],['#WilayatAlJazirah']
1767,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593,908,28/1/2016 22:00,"Is it me or this idiot just RTed a photoshopped picture?
",O,['https://t.co/OIQnpzViQm'],en,[],[]
2029,Al-Battar English,Al_Battar_Engl,,,117,144,30/1/2016 20:00,"#IslamicState
#WilayatArRaqqah
Destruction of nearly 13 elements of #PKK apostates in Western area of #Ein_eysa
",,['https://t.co/KFMQ0cfLuB'],en,[],"['#IslamicState', '#WilayatArRaqqah', '#PKK', '#Ein_eysa']"
1279,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742,348,18/1/2016 15:00," And message is:""You can't kill me, because i always run away, escape like a coward."" Photo is from this summer, quite hot, sunny",O,[],en,['@leithfadel'],[]
1931,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,30/1/2016 7:00,My best RTs this week came from:    #thankSAll Who were yours? ,O,['https://t.co/81yvekj6jC'],en,"['@muruthallah', '@mahatmadeen3237', '@StrangerBro2']",['#thankSAll']
434,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,14/10/2015 17:00,"New photos of #IS Soldiers from Jolo island,Mindanao Philipines.hostages be killed if demands not meet ",N,['http://t.co/H9ZKVJHpUo'],en,[],['#IS']
1332,s.o.dawlah,1Dawlah_III,,,632,333,19/1/2016 23:00,"#WilayatHalab 
❄ Winter in the town of Akhtarin. 📷  ",P,"['https://t.co/ScuiR9vKRW', 'https://t.co/qT82ew9hH1']",en,[],['#WilayatHalab']
1824,Al-Battar English,Al_Battar_Engl,,,117,144,29/1/2016 15:00,"#AmaqNewsAgency Approximately 50 Syrian Regime Soldiers Killed in Assault by Islamic State Fighters in the Surroundings of #Kuwayris 
1/2",P,[],en,[],"['#AmaqNewsAgency', '#Kuwayris']"
12810,Plea Of the Ummah!,pleaoftheummah,"Plea of the Ummah!
Ummathuge Aadheys!
A Campaign by Jamiyyathul Bayan.",,95,1111,17/4/2016 4:00,"󾓯 | Legitimacy (Shar'ia)  courses for the Muslims in the city of #Sirte
 #IslamicState #WilayatTarabulus 
For... ",P,['https://t.co/MeVXdhNJsb'],en,[],"['#Sirte', '#IslamicState', '#WilayatTarabulus']"
1439,s.o.dawlah,1Dawlah_III,,,632,333,22/1/2016 22:00,"#AmaqNewsAgency 
⚡ Public Services Diwan launches project to regulate power consumption in Raqqah. Details: ",P,['https://t.co/srioXwYKaS'],en,[],['#AmaqNewsAgency']
1982,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152,5929,30/1/2016 14:00,"RT : #Breaking
Rebels have  recaptured al-Bal from #ISIS in north #Aleppo, #Syria.",N,[],en,['@Nidalgazaui'],"['#Breaking', '#ISIS', '#Aleppo', '#Syria']"
1547,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,25/1/2016 18:00,E #Ramadi : Sudden #ISIS attack left 10 #Iraq soldiers dead while 4 Humvee burnt.,N,[],en,[],"['#Ramadi', '#ISIS', '#Iraq']"
17023,☝️,melvynlion,"If you have trust in Allah, you have no need to worry, as one way or another the sun will shine again.!!!",,81,478,12/5/2016 18:00,     maybe a noodle 🐖🐖,O,[],en,"['@kafirkaty', '@jailamx', '@spicylatte123', '@sassysassyred', '@ScotsmanInfidel']",[]
1239,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139,656,16/1/2016 23:00,"RT : The ""West"" is an ALLY of Bashar al Assad the nusayria the lands of ""Freedom"" are an ally of the worlds number one kill…",O,[],en,['@thevictoryseri4'],[]
1264,Abu_Azzam25,Abu_Azzzam25,,,35,118,17/1/2016 22:00,"RT : Economic problems and government ineffectiveness are increasing ISIL's popularity in Bosnia, Analysts say …",N,['https://t.co/08Ecl'],en,['@AJEnglish'],[]
796,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,28/12/2015 12:00,"My week on Twitter: 45 New Followers, 3 Mentions, 36 Retweets. How's your audience growing? via ",,['https://t.co/hJttq1Iwbb'],en,[],[]
1412,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,22/1/2016 9:00,Sheikh Faisal talks about #ISIS AQ &amp; Murtadin...      ,P,['https://t.co/pSWAD6tg2U'],en,[],['#ISIS']
1645,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,27/1/2016 16:00,#Baghdadi police chief reportedly killed in #ISIS Ayn al-Asad attack including many pro #Iraq|i regime militants &amp; a Sahawa commander..,N,[],en,[],"['#Baghdadi', '#ISIS', '#Iraq']"
1324,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197,1561,19/1/2016 20:00,"#IslamicState has just released Dabiq 13 ""The Rafidah: from Ibn Saba' to the Dajjal""",N,[],en,[],['#IslamicState']
600,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427,1953,22/11/2015 6:00," akhi, is there any Kh*il*afah News Telegram link? if so, please send me the link to it",O,[],en,['@HAMZA35209826'],[]
1618,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,26/1/2016 21:00,"RT : If you're not depressed enough about #Syria , here's my piece on why Geneva talks unlikely to go anywhere …",N,['https://t.co/lKp'],en,['@Joyce_Karam'],['#Syria']
1700,s.o.dawlah,1Dawlah_III,,,632,333,28/1/2016 6:00,"#WilayatKarkuk
🚧🚜 Paving streets in the town of Al-Hawija. 📷  ",N,"['https://t.co/kuVRhbrMdv', 'https://t.co/uZVW6umiFM']",en,[],['#WilayatKarkuk']
1815,Al-Battar English,Al_Battar_Engl,,,117,144,29/1/2016 15:00,"#WilayatSalahuddin Battles Progress Western #Samara City 

#Caliphate_News",N,['https://t.co/BFz4W26KrE'],en,[],"['#WilayatSalahuddin', '#Samara', '#Caliphate_News']"
962,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,6/1/2016 9:00,RT : Obama weeps for joy as he watches his beloved Assad starving people to death ,O,['https://t.co/drMmFHLZ1G'],en,['@Abduhark'],[]
1987,٩ Flames of Haqq,Witness_alHaqq,,,605,115,30/1/2016 15:00,"RT : Slight update to older justpastes:


Outdated Justpaste:
…",,"['https://t.co/IU6fCJD73N', 'https://t.co/syHebVE63k', 'https://t.co/cQM70hSS']",en,['@ibnhernan'],[]
1958,Al-Battar English,Al_Battar_Engl,,,117,144,30/1/2016 11:00,"#Caliphate_News
#WilayatHalab
Cubs &amp; Flowers of the Calophate- Education in Akhtarīn city.
 ",P,"['https://t.co/6wSDHhnaOD', 'https://t.co/qTFTfVhMS2']",en,[],"['#Caliphate_News', '#WilayatHalab']"
1570,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193,103,26/1/2016 6:00,"  you lot, you sure about that? Aside theres nothing like a ""roundtable of global jihad""",O,[],en,"['@AhHijra', '@salaam1022']",[]
1000,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866,370,9/1/2016 13:00,"3/3... He causes to inherit it whom He wills of His servants. And the [best] outcome is for the righteous."" Q 7:128 ",N,['https://t.co/FAUULnCD7h'],en,[],[]
1289,s.o.dawlah,1Dawlah_III,,,632,333,19/1/2016 3:00,"#WilayatNinawa
A tour of Sukar neighborhood in Mosul. 📷  ",N,"['https://t.co/9CSh3A6F43', 'https://t.co/DlLj4mCUYA']",en,[],['#WilayatNinawa']
262,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,24/9/2015 14:00,      lets see whos murtad on the day of judgement,O,[],en,"['@MrrMan2', '@Abu_adamm', '@etdz101010', '@Haditha21', '@ibnu_noran8', '@WilayatHalab']",[]
1538,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,25/1/2016 12:00,"This is someone's son, someone's brother...someone's grandchild.
Blown to bits , while the ummah fights one another ",O,['https://t.co/hh3yPkqWxT'],en,[],[]
1969,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593,908,30/1/2016 12:00,RT : #Sinai : Child Abdullah was injured and lost his leg after Egyptian army shelling 2 days ago ,N,['https://t.co/DEHluPE7kM'],en,['@wayf44rer_'],['#Sinai']
584,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",130,656,15/11/2015 19:00, #ParisAttacks Paris attacks: police hunt Jihadi accomplices #parisisburning #parisburns #parisinflames,N,['https://t.co/bSDquPPfIr'],en,[],"['#ParisAttacks', '#parisisburning', '#parisburns', '#parisinflames']"
12129,war analysis,war_analysis,,,89,1662,12/4/2016 20:00,RT : Trained German soldiers joining IS. ,P,['https://t.co/f3j725dSMD'],en,['@SultanbinBajad'],[]
875,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866,370,1/1/2016 19:00," and #IS today was like ""Hold on Haidar, before Mosul we are not yet done with #Ramadi. We have some business to do""",O,[],en,['@WilayatBarkah'],"['#IS', '#Ramadi']"
8631,The Caravan,Freedom_speech2,"Monitoring terrorism threats. Bringing live coverage and updates on MENA, Freelance Journalist , RTs and Favs aren't endorsement","Geneva, Switzerland",3233,9180,21/3/2016 16:00,  please unfollow me,O,[],en,"['@Dhul_Qarnayn1', '@ggmm1g']",[]
1591,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,26/1/2016 15:00,The last two #Assad's army positions surroundings SAA Brigade 128 have fell to #ISIS #Damascus #Syria ,N,['https://t.co/du0lGevUoo'],en,[],"['#Assad', '#ISIS', '#Damascus', '#Syria']"
14488,كتكات كوكونت,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1774,6392,28/4/2016 19:00, VSO Zombie keyboard-warrior,,[],en,['@MaghrebiWS4'],[]
1062,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,12/1/2016 7:00,May Allah protect all Muslims  ,O,['https://t.co/FD8y9LtsAL'],en,[],[]
1228,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873,91,16/1/2016 21:00,"RT : #BREAKING
SOHR claims that +135 #Assad soldiers killed today in #ISIS offensive in #DeirEzzor.",P,[],en,['@Nidalgazaui'],"['#BREAKING', '#Assad', '#ISIS', '#DeirEzzor']"
1585,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,26/1/2016 11:00,RT : Official data: Saudi wastes $13.3bn of food each year  #SaudiArabia ,N,"['https://t.co/8p7LwrU9xd', 'https://t.co/QuLrD6RBsp']",en,['@MiddleEastMnt'],['#SaudiArabia']
1398,Abu_Azzam25,Abu_Azzzam25,,,35,118,21/1/2016 16:00,RT : #Sinai : Photo of Egyptian policemen killed in #IS attack at al-’Atlawi area in al-Arish ,N,['https://t.co/5hPSrmr4Wy'],en,['@wayf44rer_'],"['#Sinai', '#IS']"
1222,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873,91,16/1/2016 20:00,RT : #BreakingNews #Aamaq: 110 #Assad thugs killed; 5 captured in #ISIS huge offensive in #DeirEzzor today.. #Syria,P,[],en,['@RamiAlLolah'],"['#BreakingNews', '#Aamaq', '#Assad', '#ISIS', '#DeirEzzor', '#Syria']"
1369,abu baker aldimashqi,abubakerdimshqi,,,119,273,20/1/2016 12:00,"RT : 18+ GRAPHIC!!

LOOK AT WHAT SHIA MILITIAS ARE DOING TO MUSLIM CIVILIANS IN IRAQ!!! ",P,['https://t.co/EXQ1PCFIi5'],en,['@ImamGoogle'],[]
804,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,29/12/2015 7:00,"RT : Assad killed nearly half million people but no one takes action against him
#SmallCoffinsAreHeaviest 
#PrayForSyria https:…",P,[],en,['@lion_faisal'],"['#SmallCoffinsAreHeaviest', '#PrayForSyria']"
1874,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,29/1/2016 21:00,RT : I actually stopped counting. #ISIS hunts #Assad thugs west and north #Kuweires air-base. Today 23 thugs killed. Yesterday …,N,[],en,['@RamiAlLolah'],"['#ISIS', '#Assad', '#Kuweires']"
2076,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,31/1/2016 0:00,These incidents are increasing &amp; becaming quite notable. #ISIS shot down a combat #USA drone over #Karmah #Iraq ,O,['https://t.co/RUB0GgQwne'],en,[],"['#ISIS', '#USA', '#Karmah', '#Iraq']"
1895,Al-Battar English,Al_Battar_Engl,,,117,144,29/1/2016 22:00,"UPDATE: Death toll from mosque bombing in Saudi Arabia has now risen to 4, with another 17 injured.",N,[],en,[],[]
11635,wayf44rer,wayf44rerr,News of Maghreb and Mashreq,Middle of Nowhere,315,44,8/4/2016 18:00,"#Sinai Egyptian army soldier killed today a sniper in al-Kawza area, south-west of Sheikh Zuwaid",N,[],en,[],['#Sinai']
2038,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016,487,30/1/2016 20:00,"RT : #AmaqNews
Religious course for 1200 functionaries of Public Services in Sirte. Details:  https://t.…",P,['https://t.co/93oZ7FwRaq'],en,['@1Dawlah_III'],['#AmaqNews']
9340,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,32156,17544,24/3/2016 22:00, ليش؟,,[],en,['@Syrianvictims'],[]
1725,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,28/1/2016 14:00,#ISIS claims responsibility of the suicide attack near the presidential palace in #Aden #Yemen ,P,['https://t.co/fHbIkSUBFz'],en,[],"['#ISIS', '#Aden', '#Yemen']"
1433,Abu_Azzam25,Abu_Azzzam25,,,35,118,22/1/2016 21:00,"RT : Airstrike on a wedding convoy in #Raqqa
Video:  ",N,"['https://t.co/adcZ9EXmJz', 'https://t.co/vnSi0DWT9s']",en,['@p_vanostaeyen'],['#Raqqa']
1513,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197,1561,24/1/2016 19:00,RT : Local activists in #Hasakah claim a #Russia|n officer allegedly killed in #ISIS suicide attack in #Qamishli. Not confirmed…,N,[],en,['@RamiAlLolah'],"['#Hasakah', '#Russia', '#ISIS', '#Qamishli']"
2477,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,31/1/2016 18:00,RT : ASSALAMU ALAIKUM.. LAST ACCOUNT LOCKED.. BACK ALHAMDULILLAH... PLEASE FOLLOW &amp; SHARE.. :),O,[],en,['@UmmLina13'],[]
1483,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,23/1/2016 23:00,Algeria raises alarm over Moroccans crossing toward Libya  via ,N,['https://t.co/10NtsTRyLX'],en,['@dailystarleb'],[]
526,al-Nusra,al_nusra,,,350,190,3/11/2015 1:00,"Aleppo | The arrival of 23 Mujahid of the ""Jund al-Aqsa"" with their full arms and equipment to the city of #Manbej in ALEPPO to join the #IS",P,[],en,[],"['#Manbej', '#IS']"
1909,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593,908,29/1/2016 22:00,"So many family members killed by ISIS and I'm suspected of supporting ISIS.
Breaking my heart tweet after tweet, disgusting..",O,[],en,[],[]
1493,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,24/1/2016 7:00, Just wait and see this  is the last war of them but Allahu Alam,O,[],en,['@AbuNaseeha_02'],[]
7781,JustUkht Maryam,432Mryam,"Kindness is an mark of faith, and whoever is not kind has no faith.",Nowhere,169,70,15/3/2016 4:00,🔲🔲 $UPP0RT!!🔲🔲 ,,['https://t.co/YDNxLb1bnC'],en,[],[]
2007,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152,5929,30/1/2016 19:00,Reports #IS has taken control of the Faculty of Arts &amp; Anas ibn Malik mosque in the Rashidiya district of Deir Ezzor ,N,['https://t.co/V9C3fdd7W2'],en,[],['#IS']
1714,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,28/1/2016 12:00,And the numbers will only increase bithnilah  ,O,['https://t.co/FOPhOBazXN'],en,[],[]
523,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427,1953,2/11/2015 1:00,"#infogeographic
📰Statistics of #Kurdish units who killed by the hands of the #IslamicState fighters on October 2015 ",N,['https://t.co/CG9W4hlwtH'],en,[],"['#infogeographic', '#Kurdish', '#IslamicState']"
8539,EPIC,EPlC24,,,771,247,20/3/2016 11:00,RT :  ,,['https://t.co/f9FdT1I86b'],en,"['@Ayyash051', '@EPlC24']",[]
1522,Abu khalid,darulhijrateyni,,,248,44,25/1/2016 3:00,RT :  ISIS is like a fire. We’re just throwing gas on it vs letting it burn out.,O,[],en,"['@rburton', '@Snowden']",[]
9440,EPIC,EPlC24,,,771,247,25/3/2016 13:00,RT : Two explosions in #Brussels #Belgium,N,[],en,['@wwayyf44rer'],"['#Brussels', '#Belgium']"
1262,Abu_Azzam25,Abu_Azzzam25,,,35,118,17/1/2016 21:00, Jazakallah khair! May Allah preserve you brother!,O,[],en,['@reynaldovegas13'],[]
1533,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193,103,25/1/2016 10:00,"RT : Important Watch ""Ahmed Musa Jibril | A Message To Those Who Speak Without Knowledge! | Golden Advice"" 
…",P,['https://t.co/s9'],en,['@LoveShaykhAhmad'],[]
1544,Abu khalid,darulhijrateyni,,,248,44,25/1/2016 14:00,Told ya u cannt unite them ,O,['https://t.co/kNXxyZZYZd'],en,[],[]
2017,Al-Battar English,Al_Battar_Engl,,,117,144,30/1/2016 19:00,"#IS
#AlBayanRadio
Launch of Al-Bayan Radio Streaming App
Download:

 ",P,"['https://t.co/b6M3hJ4XOh', 'https://t.co/Rp0lrncSoX', 'https://t.co/epc4fLnQP9']",en,[],"['#IS', '#AlBayanRadio']"
1960,Al-Battar English,Al_Battar_Engl,,,117,144,30/1/2016 11:00,"#Caliphate_News
#WilayatAlFallujah
The distribution of An-Naba’ newspaper in Al-Fallujah.
 ",P,"['https://t.co/njQ3Fsbh00', 'https://t.co/rsTi3soslg']",en,[],"['#Caliphate_News', '#WilayatAlFallujah']"
1920,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,30/1/2016 1:00,RT : #IslamicState fighters are 3km from the town of #Arsal in #Lebanon after taking over many #JabhatAlNusra held areas https:/…,N,[],en,['@alkaraki10'],"['#IslamicState', '#Arsal', '#Lebanon', '#JabhatAlNusra']"
11427,Dawla Witness,DawlaWitness11,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.","Lake City, GA",207,71,8/4/2016 11:00, ameen,O,[],en,['@1OneTawheed'],[]
776,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866,370,26/12/2015 19:00, have u read the previous tweet with the link or just jumping in.,O,[],en,['@IshaaqNewton'],[]
1653,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,27/1/2016 19:00,#Reuters: #Washington 'advices again' #Syria|n opposition to 'seize the historic opportunity' to attend #Geneva talks without preconditions,N,[],en,[],"['#Reuters', '#Washington', '#Syria', '#Geneva']"
1575,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,26/1/2016 9:00,"  #ISIS claims the responsibility saying ""100 nasiri killed or wounded"" 
#homs #syria ",P,['https://t.co/KMCt8Wt0SE'],en,"['@ismailmahsud', '@ismailmahsud']","['#ISIS', '#homs', '#syria']"
2004,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152,5929,30/1/2016 18:00,"RT : One of the many victmis today in the refugee camp, #Idlib, #Lataika which was bombed today by #Russian forces #Syria https…",N,[],en,['@Nidalgazaui'],"['#Idlib', '#Lataika', '#Russian', '#Syria']"
1966,Al-Battar English,Al_Battar_Engl,,,117,144,30/1/2016 12:00,"#WilayatAlKhayr
Two Maryrdom operations targets gatherings of Nusayri Army in Al-Hiweqa &amp;Ar-Rushdiyyah neighborhoods
",N,['https://t.co/nxn9cpURIE'],en,[],['#WilayatAlKhayr']
103,IS_BAQIYA,BaqiyaIs,,,25,471,3/9/2015 13:00,"Ali Mohammad Beqaaey died. Second Syrian refugee child to die shot by funeral stray bullets in Lebanon, in 2 months....",N,[],en,[],[]
1230,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873,91,16/1/2016 21:00,"RT : Big if confirmed, #ISIS storms #SAA brigade 137 in #DeirEzzor and controls several entrances, after several VBIEDs paved…",N,[],en,['@ScotMikey1111'],"['#ISIS', '#SAA', '#DeirEzzor']"
1372,abu baker aldimashqi,abubakerdimshqi,,,119,273,20/1/2016 12:00,"RT : No person knows what he will earn tomorrow.

Quran 31:34",O,[],en,['@aboud_s'],[]
