,name,username,description,location,followers,numberstatuses,time,tweets,url,lang,mentions,hashtags
1292,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-19 04:00:09,"#WilayatSayna 
Caliphate soldiers execute two Egyptian Army spies. 📷  ","['https://t.co/SN4PumUNEA', 'https://t.co/mUmJFDrgWy']",en,[],['#WilayatSayna']
13714,كتكات كوكونة,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1740.0,5879.0,2016-04-22 21:00:12,    LOL I'm dying,[],en,"['@dhjxjdjsjshxhx', '@MaghrebiWS1', '@WindOfVictories', '@AbuBlock']",[]
654,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2015-12-13 10:00:28,"  Hagar was Abrahams wife, he had a son Ishmael with her, arabs are from him. I mentioned connection with Kaaba",[],en,"['@child_lamb', '@AkhiJibran']",[]
1341,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-20 01:00:22,"#WilayatAlJazirah
Opening a new media point in the village of Tawim. 📷  ","['https://t.co/P8cHU4khds', 'https://t.co/jQ7xRBvqAW']",en,[],['#WilayatAlJazirah']
1767,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-28 22:00:29,"Is it me or this idiot just RTed a photoshopped picture?
",['https://t.co/OIQnpzViQm'],en,[],[]
2029,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 20:00:05,"#IslamicState
#WilayatArRaqqah
Destruction of nearly 13 elements of #PKK apostates in Western area of #Ein_eysa
",['https://t.co/KFMQ0cfLuB'],en,[],"['#IslamicState', '#WilayatArRaqqah', '#PKK', '#Ein_eysa']"
1279,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2016-01-18 15:00:44," And message is:""You can't kill me, because i always run away, escape like a coward."" Photo is from this summer, quite hot, sunny",[],en,['@leithfadel'],[]
1931,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-30 07:00:35,My best RTs this week came from:    #thankSAll Who were yours? ,['https://t.co/81yvekj6jC'],en,"['@muruthallah', '@mahatmadeen3237', '@StrangerBro2']",['#thankSAll']
434,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362.0,798.0,2015-10-14 17:00:35,"New photos of #IS Soldiers from Jolo island,Mindanao Philipines.hostages be killed if demands not meet ",['http://t.co/H9ZKVJHpUo'],en,[],['#IS']
1332,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-19 23:00:30,"#WilayatHalab 
❄ Winter in the town of Akhtarin. 📷  ","['https://t.co/ScuiR9vKRW', 'https://t.co/qT82ew9hH1']",en,[],['#WilayatHalab']
1824,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 15:00:42,"#AmaqNewsAgency Approximately 50 Syrian Regime Soldiers Killed in Assault by Islamic State Fighters in the Surroundings of #Kuwayris 
1/2",[],en,[],"['#AmaqNewsAgency', '#Kuwayris']"
12810,Plea Of the Ummah!,pleaoftheummah,"Plea of the Ummah!
Ummathuge Aadheys!
A Campaign by Jamiyyathul Bayan.",,95.0,1111.0,2016-04-17 04:00:52,"󾓯 | Legitimacy (Shar'ia)  courses for the Muslims in the city of #Sirte
 #IslamicState #WilayatTarabulus 
For... ",['https://t.co/MeVXdhNJsb'],en,[],"['#Sirte', '#IslamicState', '#WilayatTarabulus']"
1439,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-22 22:00:01,"#AmaqNewsAgency 
⚡ Public Services Diwan launches project to regulate power consumption in Raqqah. Details: ",['https://t.co/srioXwYKaS'],en,[],['#AmaqNewsAgency']
1982,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 14:00:27,"RT : #Breaking
Rebels have  recaptured al-Bal from #ISIS in north #Aleppo, #Syria.",[],en,['@Nidalgazaui'],"['#Breaking', '#ISIS', '#Aleppo', '#Syria']"
1547,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-25 18:00:05,E #Ramadi : Sudden #ISIS attack left 10 #Iraq soldiers dead while 4 Humvee burnt.,[],en,[],"['#Ramadi', '#ISIS', '#Iraq']"
17023,☝️,melvynlion,"If you have trust in Allah, you have no need to worry, as one way or another the sun will shine again.!!!",,81.0,478.0,2016-05-12 18:00:18,     maybe a noodle 🐖🐖,[],en,"['@kafirkaty', '@jailamx', '@spicylatte123', '@sassysassyred', '@ScotsmanInfidel']",[]
1239,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139.0,656.0,2016-01-16 23:00:12,"RT : The ""West"" is an ALLY of Bashar al Assad the nusayria the lands of ""Freedom"" are an ally of the worlds number one kill…",[],en,['@thevictoryseri4'],[]
1264,Abu_Azzam25,Abu_Azzzam25,,,35.0,118.0,2016-01-17 22:00:02,"RT : Economic problems and government ineffectiveness are increasing ISIL's popularity in Bosnia, Analysts say …",['https://t.co/08Ecl'],en,['@AJEnglish'],[]
796,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2015-12-28 12:00:17,"My week on Twitter: 45 New Followers, 3 Mentions, 36 Retweets. How's your audience growing? via ",['https://t.co/hJttq1Iwbb'],en,[],[]
1412,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158.0,607.0,2016-01-22 09:00:05,Sheikh Faisal talks about #ISIS AQ &amp; Murtadin...      ,['https://t.co/pSWAD6tg2U'],en,[],['#ISIS']
1645,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-27 16:00:12,#Baghdadi police chief reportedly killed in #ISIS Ayn al-Asad attack including many pro #Iraq|i regime militants &amp; a Sahawa commander..,[],en,[],"['#Baghdadi', '#ISIS', '#Iraq']"
1324,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-19 20:00:59,"#IslamicState has just released Dabiq 13 ""The Rafidah: from Ibn Saba' to the Dajjal""",[],en,[],['#IslamicState']
600,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427.0,1953.0,2015-11-22 06:00:39," akhi, is there any Kh*il*afah News Telegram link? if so, please send me the link to it",[],en,['@HAMZA35209826'],[]
1618,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-26 21:00:35,"RT : If you're not depressed enough about #Syria , here's my piece on why Geneva talks unlikely to go anywhere …",['https://t.co/lKp'],en,['@Joyce_Karam'],['#Syria']
1700,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-28 06:00:52,"#WilayatKarkuk
🚧🚜 Paving streets in the town of Al-Hawija. 📷  ","['https://t.co/kuVRhbrMdv', 'https://t.co/uZVW6umiFM']",en,[],['#WilayatKarkuk']
1815,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 15:00:31,"#WilayatSalahuddin Battles Progress Western #Samara City 

#Caliphate_News",['https://t.co/BFz4W26KrE'],en,[],"['#WilayatSalahuddin', '#Samara', '#Caliphate_News']"
962,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-06 09:00:56,RT : Obama weeps for joy as he watches his beloved Assad starving people to death ,['https://t.co/drMmFHLZ1G'],en,['@Abduhark'],[]
1987,٩ Flames of Haqq,Witness_alHaqq,,,605.0,115.0,2016-01-30 15:00:16,"RT : Slight update to older justpastes:


Outdated Justpaste:
…","['https://t.co/IU6fCJD73N', 'https://t.co/syHebVE63k', 'https://t.co/cQM70hSS']",en,['@ibnhernan'],[]
1958,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 11:00:38,"#Caliphate_News
#WilayatHalab
Cubs &amp; Flowers of the Calophate- Education in Akhtarīn city.
 ","['https://t.co/6wSDHhnaOD', 'https://t.co/qTFTfVhMS2']",en,[],"['#Caliphate_News', '#WilayatHalab']"
1570,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-26 06:00:35,"  you lot, you sure about that? Aside theres nothing like a ""roundtable of global jihad""",[],en,"['@AhHijra', '@salaam1022']",[]
1000,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866.0,370.0,2016-01-09 13:00:51,"3/3... He causes to inherit it whom He wills of His servants. And the [best] outcome is for the righteous."" Q 7:128 ",['https://t.co/FAUULnCD7h'],en,[],[]
1289,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-19 03:00:43,"#WilayatNinawa
A tour of Sukar neighborhood in Mosul. 📷  ","['https://t.co/9CSh3A6F43', 'https://t.co/DlLj4mCUYA']",en,[],['#WilayatNinawa']
262,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362.0,798.0,2015-09-24 14:00:45,      lets see whos murtad on the day of judgement,[],en,"['@MrrMan2', '@Abu_adamm', '@etdz101010', '@Haditha21', '@ibnu_noran8', '@WilayatHalab']",[]
1538,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-25 12:00:31,"This is someone's son, someone's brother...someone's grandchild.
Blown to bits , while the ummah fights one another ",['https://t.co/hh3yPkqWxT'],en,[],[]
1969,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-30 12:00:36,RT : #Sinai : Child Abdullah was injured and lost his leg after Egyptian army shelling 2 days ago ,['https://t.co/DEHluPE7kM'],en,['@wayf44rer_'],['#Sinai']
584,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",130.0,656.0,2015-11-15 19:00:22, #ParisAttacks Paris attacks: police hunt Jihadi accomplices #parisisburning #parisburns #parisinflames,['https://t.co/bSDquPPfIr'],en,[],"['#ParisAttacks', '#parisisburning', '#parisburns', '#parisinflames']"
12129,war analysis,war_analysis,,,89.0,1662.0,2016-04-12 20:00:17,RT : Trained German soldiers joining IS. ,['https://t.co/f3j725dSMD'],en,['@SultanbinBajad'],[]
875,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866.0,370.0,2016-01-01 19:00:39," and #IS today was like ""Hold on Haidar, before Mosul we are not yet done with #Ramadi. We have some business to do""",[],en,['@WilayatBarkah'],"['#IS', '#Ramadi']"
8631,The Caravan,Freedom_speech2,"Monitoring terrorism threats. Bringing live coverage and updates on MENA, Freelance Journalist , RTs and Favs aren't endorsement","Geneva, Switzerland",3233.0,9180.0,2016-03-21 16:00:34,  please unfollow me,[],en,"['@Dhul_Qarnayn1', '@ggmm1g']",[]
1591,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-26 15:00:14,The last two #Assad's army positions surroundings SAA Brigade 128 have fell to #ISIS #Damascus #Syria ,['https://t.co/du0lGevUoo'],en,[],"['#Assad', '#ISIS', '#Damascus', '#Syria']"
14488,كتكات كوكونت,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1774.0,6392.0,2016-04-28 19:00:57, VSO Zombie keyboard-warrior,[],en,['@MaghrebiWS4'],[]
1062,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24.0,144.0,2016-01-12 07:00:06,May Allah protect all Muslims  ,['https://t.co/FD8y9LtsAL'],en,[],[]
1228,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873.0,91.0,2016-01-16 21:00:04,"RT : #BREAKING
SOHR claims that +135 #Assad soldiers killed today in #ISIS offensive in #DeirEzzor.",[],en,['@Nidalgazaui'],"['#BREAKING', '#Assad', '#ISIS', '#DeirEzzor']"
1585,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-26 11:00:50,RT : Official data: Saudi wastes $13.3bn of food each year  #SaudiArabia ,"['https://t.co/8p7LwrU9xd', 'https://t.co/QuLrD6RBsp']",en,['@MiddleEastMnt'],['#SaudiArabia']
1398,Abu_Azzam25,Abu_Azzzam25,,,35.0,118.0,2016-01-21 16:00:15,RT : #Sinai : Photo of Egyptian policemen killed in #IS attack at al-’Atlawi area in al-Arish ,['https://t.co/5hPSrmr4Wy'],en,['@wayf44rer_'],"['#Sinai', '#IS']"
1222,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873.0,91.0,2016-01-16 20:00:23,RT : #BreakingNews #Aamaq: 110 #Assad thugs killed; 5 captured in #ISIS huge offensive in #DeirEzzor today.. #Syria,[],en,['@RamiAlLolah'],"['#BreakingNews', '#Aamaq', '#Assad', '#ISIS', '#DeirEzzor', '#Syria']"
1369,abu baker aldimashqi,abubakerdimshqi,,,119.0,273.0,2016-01-20 12:00:42,"RT : 18+ GRAPHIC!!

LOOK AT WHAT SHIA MILITIAS ARE DOING TO MUSLIM CIVILIANS IN IRAQ!!! ",['https://t.co/EXQ1PCFIi5'],en,['@ImamGoogle'],[]
804,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24.0,144.0,2015-12-29 07:00:41,"RT : Assad killed nearly half million people but no one takes action against him
#SmallCoffinsAreHeaviest 
#PrayForSyria https:…",[],en,['@lion_faisal'],"['#SmallCoffinsAreHeaviest', '#PrayForSyria']"
1874,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-29 21:00:31,RT : I actually stopped counting. #ISIS hunts #Assad thugs west and north #Kuweires air-base. Today 23 thugs killed. Yesterday …,[],en,['@RamiAlLolah'],"['#ISIS', '#Assad', '#Kuweires']"
2076,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-31 00:00:02,These incidents are increasing &amp; becaming quite notable. #ISIS shot down a combat #USA drone over #Karmah #Iraq ,['https://t.co/RUB0GgQwne'],en,[],"['#ISIS', '#USA', '#Karmah', '#Iraq']"
1895,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 22:00:39,"UPDATE: Death toll from mosque bombing in Saudi Arabia has now risen to 4, with another 17 injured.",[],en,[],[]
11635,wayf44rer,wayf44rerr,News of Maghreb and Mashreq,Middle of Nowhere,315.0,44.0,2016-04-08 18:00:38,"#Sinai Egyptian army soldier killed today a sniper in al-Kawza area, south-west of Sheikh Zuwaid",[],en,[],['#Sinai']
2038,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016.0,487.0,2016-01-30 20:00:09,"RT : #AmaqNews
Religious course for 1200 functionaries of Public Services in Sirte. Details:  https://t.…",['https://t.co/93oZ7FwRaq'],en,['@1Dawlah_III'],['#AmaqNews']
9340,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,32156.0,17544.0,2016-03-24 22:00:56, ليش؟,[],en,['@Syrianvictims'],[]
1725,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-28 14:00:40,#ISIS claims responsibility of the suicide attack near the presidential palace in #Aden #Yemen ,['https://t.co/fHbIkSUBFz'],en,[],"['#ISIS', '#Aden', '#Yemen']"
1433,Abu_Azzam25,Abu_Azzzam25,,,35.0,118.0,2016-01-22 21:00:27,"RT : Airstrike on a wedding convoy in #Raqqa
Video:  ","['https://t.co/adcZ9EXmJz', 'https://t.co/vnSi0DWT9s']",en,['@p_vanostaeyen'],['#Raqqa']
1513,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-24 19:00:07,RT : Local activists in #Hasakah claim a #Russia|n officer allegedly killed in #ISIS suicide attack in #Qamishli. Not confirmed…,[],en,['@RamiAlLolah'],"['#Hasakah', '#Russia', '#ISIS', '#Qamishli']"
2477,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-31 18:00:46,RT : ASSALAMU ALAIKUM.. LAST ACCOUNT LOCKED.. BACK ALHAMDULILLAH... PLEASE FOLLOW &amp; SHARE.. :),[],en,['@UmmLina13'],[]
1483,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158.0,607.0,2016-01-23 23:00:45,Algeria raises alarm over Moroccans crossing toward Libya  via ,['https://t.co/10NtsTRyLX'],en,['@dailystarleb'],[]
526,al-Nusra,al_nusra,,,350.0,190.0,2015-11-03 01:00:25,"Aleppo | The arrival of 23 Mujahid of the ""Jund al-Aqsa"" with their full arms and equipment to the city of #Manbej in ALEPPO to join the #IS",[],en,[],"['#Manbej', '#IS']"
1909,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-29 22:00:58,"So many family members killed by ISIS and I'm suspected of supporting ISIS.
Breaking my heart tweet after tweet, disgusting..",[],en,[],[]
1493,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158.0,607.0,2016-01-24 07:00:54, Just wait and see this  is the last war of them but Allahu Alam,[],en,['@AbuNaseeha_02'],[]
7781,JustUkht Maryam,432Mryam,"Kindness is an mark of faith, and whoever is not kind has no faith.",Nowhere,169.0,70.0,2016-03-15 04:00:28,🔲🔲 $UPP0RT!!🔲🔲 ,['https://t.co/YDNxLb1bnC'],en,[],[]
2007,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 19:00:05,Reports #IS has taken control of the Faculty of Arts &amp; Anas ibn Malik mosque in the Rashidiya district of Deir Ezzor ,['https://t.co/V9C3fdd7W2'],en,[],['#IS']
1714,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-28 12:00:43,And the numbers will only increase bithnilah  ,['https://t.co/FOPhOBazXN'],en,[],[]
523,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427.0,1953.0,2015-11-02 01:00:19,"#infogeographic
📰Statistics of #Kurdish units who killed by the hands of the #IslamicState fighters on October 2015 ",['https://t.co/CG9W4hlwtH'],en,[],"['#infogeographic', '#Kurdish', '#IslamicState']"
8539,EPIC,EPlC24,,,771.0,247.0,2016-03-20 11:00:32,RT :  ,['https://t.co/f9FdT1I86b'],en,"['@Ayyash051', '@EPlC24']",[]
1522,Abu khalid,darulhijrateyni,,,248.0,44.0,2016-01-25 03:00:26,RT :  ISIS is like a fire. We’re just throwing gas on it vs letting it burn out.,[],en,"['@rburton', '@Snowden']",[]
9440,EPIC,EPlC24,,,771.0,247.0,2016-03-25 13:00:17,RT : Two explosions in #Brussels #Belgium,[],en,['@wwayyf44rer'],"['#Brussels', '#Belgium']"
1262,Abu_Azzam25,Abu_Azzzam25,,,35.0,118.0,2016-01-17 21:00:45, Jazakallah khair! May Allah preserve you brother!,[],en,['@reynaldovegas13'],[]
1533,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-25 10:00:46,"RT : Important Watch ""Ahmed Musa Jibril | A Message To Those Who Speak Without Knowledge! | Golden Advice"" 
…",['https://t.co/s9'],en,['@LoveShaykhAhmad'],[]
1544,Abu khalid,darulhijrateyni,,,248.0,44.0,2016-01-25 14:00:52,Told ya u cannt unite them ,['https://t.co/kNXxyZZYZd'],en,[],[]
2017,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 19:00:51,"#IS
#AlBayanRadio
Launch of Al-Bayan Radio Streaming App
Download:

 ","['https://t.co/b6M3hJ4XOh', 'https://t.co/Rp0lrncSoX', 'https://t.co/epc4fLnQP9']",en,[],"['#IS', '#AlBayanRadio']"
1960,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 11:00:44,"#Caliphate_News
#WilayatAlFallujah
The distribution of An-Naba’ newspaper in Al-Fallujah.
 ","['https://t.co/njQ3Fsbh00', 'https://t.co/rsTi3soslg']",en,[],"['#Caliphate_News', '#WilayatAlFallujah']"
1920,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-30 01:00:43,RT : #IslamicState fighters are 3km from the town of #Arsal in #Lebanon after taking over many #JabhatAlNusra held areas https:/…,[],en,['@alkaraki10'],"['#IslamicState', '#Arsal', '#Lebanon', '#JabhatAlNusra']"
11427,Dawla Witness,DawlaWitness11,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.","Lake City, GA",207.0,71.0,2016-04-08 11:00:32, ameen,[],en,['@1OneTawheed'],[]
776,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866.0,370.0,2015-12-26 19:00:02, have u read the previous tweet with the link or just jumping in.,[],en,['@IshaaqNewton'],[]
1653,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-27 19:00:30,#Reuters: #Washington 'advices again' #Syria|n opposition to 'seize the historic opportunity' to attend #Geneva talks without preconditions,[],en,[],"['#Reuters', '#Washington', '#Syria', '#Geneva']"
1575,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-26 09:00:47,"  #ISIS claims the responsibility saying ""100 nasiri killed or wounded"" 
#homs #syria ",['https://t.co/KMCt8Wt0SE'],en,"['@ismailmahsud', '@ismailmahsud']","['#ISIS', '#homs', '#syria']"
2004,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 18:00:41,"RT : One of the many victmis today in the refugee camp, #Idlib, #Lataika which was bombed today by #Russian forces #Syria https…",[],en,['@Nidalgazaui'],"['#Idlib', '#Lataika', '#Russian', '#Syria']"
1966,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 12:00:05,"#WilayatAlKhayr
Two Maryrdom operations targets gatherings of Nusayri Army in Al-Hiweqa &amp;Ar-Rushdiyyah neighborhoods
",['https://t.co/nxn9cpURIE'],en,[],['#WilayatAlKhayr']
103,IS_BAQIYA,BaqiyaIs,,,25.0,471.0,2015-09-03 13:00:03,"Ali Mohammad Beqaaey died. Second Syrian refugee child to die shot by funeral stray bullets in Lebanon, in 2 months....",[],en,[],[]
